Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Gulch Fire,True,2020-06-06T16:19:20Z,Sonoma,107,100,-122.536406,38.216134,Wildfire,False,True,"Stage Gulch Road and  Lakeville Highway, North of Lakeville"
Quail Fire,True,2020-06-06T16:36:26Z,Solano,1837,100,-122.038208,38.470809,Wildfire,False,True,"Quail Canyon Road and Pleasants Valley Road, Southwest of Winters"
Willow Fire ,True,2020-06-06T18:00:51Z,Contra Costa,100,100,-122.002811,37.994368,Wildfire,False,False,"Willow Pass Court and Evora Road, Northeast of Concord"
Hunters Fire,True,2020-06-07T19:15:00Z,Mariposa,85,100,-120.215454,37.61955,Wildfire,False,True, Hunters Valley Road and Detwiler Road in Mariposa County. 
Sperry Fire,True,2020-06-08T13:55:53Z,Stanislaus,80,100,-121.16483,37.463636,Wildfire,False,True,"Diablo Grande Parkway and Del Puerto Canyon Road, West of Patterson"
Grand Fire,True,2020-06-08T15:45:17Z,Riverside,27,100,-117.37581,33.638067,Wildfire,False,True,"S Main Divide Road near DeCariso Road, West of Lake Elsinore "
Bradley Fire ,True,2020-06-08T16:16:07Z,Monterey,230,100,-120.81509,35.94979,Wildfire,False,True,"Sargents Canyon and Alvardo Road, North of Bradley"
Sierra Fire,True,2020-06-08T17:46:04Z,Riverside,100,100,-117.46036,33.82925,Wildfire,False,False, La Sierra Avenue and Cajalco Road
Oak Fire,True,2020-06-08T20:50:06.293Z,Riverside,20,100,-116.89655,33.78275,Wildfire,False,True," 45000 Block of Castile Canyon Road, East of San Jacinto in Riverside County is 15 acres."
Vineyard Fire ,True,2020-06-09T15:22:55Z,Mendocino,151,100,-123.21318,38.89695,Wildfire,False,True,"Highway 128 and Elkhorn Road, South of Yorkville"
India Fire,True,2020-06-09T21:51:40Z,San Diego,1100,100,-117.47166,33.37579,Wildfire,False,False,"Roblar Rd and Basilone Rd, Camp Pendleton Marine Corps Base"
Elizabeth Fire,True,2020-06-10T13:11:26Z,Ventura,289,100,-119.17808,34.29475,Wildfire,False,False,"Elizabeth and Foothill Rd, north of Ventura   "
